waktu,id_transaksi,kode,nama,ukuran,warna_kertas,warna_bunga,qty,harga,subtotal,hpp,total_hpp,profit,diskon,ongkir,delivery,total_transaksi,source
1/8/2026 15:49,LIY20260108154913,E2,Buqet Kosongan & Bunga,Standar,hitam,merah,2,40000,80000,28000,56000,24000,0,0,ambil,80000,
1/8/2026 15:54,LIY20260108155402,A2,Buqet Bunga Artifisial,Standar,pink,pink,2,40000,80000,28000,56000,24000,0,0,Ambil Sendiri,80000,
1/8/2026 16:07,LIY20260108160751,A1,Buqet Boneka,Standar,ungu,biru,2,65000,130000,48000,96000,34000,0,100000,Full Delivery,230000,
1/8/2026 17:00,INV-20260108-HI6G,A2,Buqet Bunga Artifisial,Standar,pink,pink,3,40000,120000,28000,84000,36000,3600,100000,delivery,216400,
1/8/2026 17:27,INV-20260108-61RR,A1,Buqet Boneka,Standar,ungu,biru,2,65000,130000,48000,96000,34000,0,20000,Full Delivery,445000,
1/8/2026 17:27,INV-20260108-61RR,A2,Buqet Bunga Artifisial,Standar,pink,ungu,2,40000,80000,28000,56000,24000,0,20000,Full Delivery,445000,
1/8/2026 17:27,INV-20260108-61RR,A3,Buqet Bunga Kertas,Standar,ungu,biru,1,50000,50000,36000,36000,14000,0,20000,Full Delivery,445000,
1/8/2026 17:27,INV-20260108-61RR,B1,Buqet Foto,Standar,ungu,biru,3,55000,165000,40000,120000,45000,0,20000,Full Delivery,445000,
1/8/2026 17:56,LIY20260108175647,A3,Buqet Bunga Kertas,Standar,coklat,biru,4,50000,200000,36000,144000,56000,0,10000,delivery,210000,
1/12/2026 8:13,INV-20260112-8AFN,B1,Buqet Foto,Besar,ungu,pink,2,75000,150000,55000,110000,40000,0,0,delivery,150000,
1/13/2026 18:13,INV-20260113-W055,B1,Buqet Foto,Standar,ungu,putih,3,55000,165000,40000,120000,45000,10000,0,ambil,155000,
1/13/2026 18:59,INV-20260113-CQE4,B2,Buqet Foto & Bunga,Mini,hitam,ungu,2,50000,100000,36000,72000,28000,10000,13000,delivery,103000, online
1/13/2026 21:03,INV-20260113-OYKD,A3,Buqet Bunga Kertas,Mini,coklat,ungu,3,35000,105000,25000,75000,30000,0,10000,delivery,115000, online
1/13/2026 21:30,INV-20260113-SDU4,A3,Buqet Bunga Kertas,Standar,hitam,ungu,4,50000,200000,36000,144000,56000,20000,0,ambil,180000,offline
1/13/2026 21:53,INV-20260113-2LPQ,B1,Buqet Foto,Besar,coklat,putih,6,75000,450000,55000,330000,120000,22500,10000,delivery,437500,online
1/14/2026 9:37,INV-20260114-W49U,B1,Buqet Foto,Besar,Hitam,pink,2,75000,150000,55000,110000,40000,0,10000,delivery,160000,offline
